eatBreakfast\3.png → 3.webp | Saved 2877875 bytes (90.6%)
eatBreakfast\4.png → 4.webp | Saved 2877875 bytes (90.6%)
eatBreakfast\5.png → 5.webp | Saved 2904428 bytes (90.6%)
eatBreakfast\6.png → 6.webp | Saved 2904428 bytes (90.6%)
eightMilk\1.png → 1.webp | Saved 2718424 bytes (93.8%)
eightMilk\2.png → 2.webp | Saved 2718424 bytes (93.8%)
eightMilk\3.png → 3.webp | Saved 2718424 bytes (93.8%)
eightMilk\4.png → 4.webp | Saved 2718424 bytes (93.8%)
eightMilk\5.png → 5.webp | Saved 2718424 bytes (93.8%)
eightMilk\6.png → 6.webp | Saved 2718424 bytes (93.8%)
eightMilk\7.png → 7.webp | Saved 2718424 bytes (93.8%)
eightMilk\8.png → 8.webp | Saved 2933215 bytes (90.8%)
eightMilk\9.png → 9.webp | Saved 2703073 bytes (95.5%)
englishClass\1.png → 1.webp | Saved 2406490 bytes (94.8%)
englishClass\10.png → 10.webp | Saved 2406490 bytes (94.8%)
englishClass\11.png → 11.webp | Saved 2403485 bytes (96.2%)
englishClass\12.png → 12.webp | Saved 2520600 bytes (96.3%)
englishClass\13.png → 13.webp | Saved 2520600 bytes (96.3%)
englishClass\14.png → 14.webp | Saved 2520600 bytes (96.3%)
englishClass\15.png → 15.webp | Saved 2520600 bytes (96.3%)
englishClass\16.png → 16.webp | Saved 2404974 bytes (94.9%)
englishClass\17.png → 17.webp | Saved 2404974 bytes (94.9%)
englishClass\18.png → 18.webp | Saved 2404974 bytes (94.9%)
englishClass\19.png → 19.webp | Saved 2946781 bytes (91.5%)
englishClass\2.png → 2.webp | Saved 2406490 bytes (94.8%)
englishClass\20.png → 20.webp | Saved 2946781 bytes (91.5%)
englishClass\21.png → 21.webp | Saved 2902894 bytes (91.4%)
englishClass\22.png → 22.webp | Saved 2902894 bytes (91.4%)
englishClass\23.png → 23.webp | Saved 2902894 bytes (91.4%)
englishClass\24.png → 24.webp | Saved 2902894 bytes (91.4%)
englishClass\25.png → 25.webp | Saved 1960995 bytes (93.6%)
englishClass\26.png → 26.webp | Saved 2945787 bytes (91.4%)
englishClass\27.png → 27.webp | Saved 2945787 bytes (91.4%)
englishClass\28.png → 28.webp | Saved 2945787 bytes (91.4%)
englishClass\29.png → 29.webp | Saved 2945787 bytes (91.4%)
englishClass\3.png → 3.webp | Saved 2406490 bytes (94.8%)
englishClass\30.png → 30.webp | Saved 2966631 bytes (91.5%)
englishClass\31.png → 31.webp | Saved 2966631 bytes (91.5%)
englishClass\32.png → 32.webp | Saved 2698468 bytes (95.8%)
englishClass\33.png → 33.webp | Saved 2698468 bytes (95.8%)
